
cipher -->  Rotor: 100201305 --> csxrahhncwmkipydbqtkxawjrvkcrhzkzmhzrfdhmasskhyxsauqywuitbktqmges --> Plugs:['er', 'lq', 'kp', 'it', 'fv'] --->  vsxpvhhnciaptyydblilhammefxcehtwzmhzevdemasswhyxuaulywotibpinmgzr['1', '0', '2', '1', '3', '5', 'csxrahhncwmkipydbqtkxawjrvkcrhzkzmhzrfdhmasskhyxsauqywuitbktqmges']-----> Plugs: ['er', 'lq', 'kp', 'it', 'fv']  --> String: vsxpvhhnciaptyydblilhammefxcehtwzmhzevdemasswhyxuaulywotibpinmgzr
cipher -->  Rotor: 100201306 --> tfpcmtlnpbebqvvcigfpqpnoivwgtwgyzgervfcjzceibhyjtwuwrirwazghiedrd --> Plugs:['ot', 'aw', 'cd', 'gm', 'hx'] --->  okedgllinbefodvigrepqpntivamowmysmorefejdduibxyeoaifrirtwtwxiacrc['1', '0', '2', '1', '3', '6', 'tfpcmtlnpbebqvvcigfpqpnoivwgtwgyzgervfcjzceibhyjtwuwrirwazghiedrd']-----> Plugs: ['ot', 'aw', 'cd', 'gm', 'hx']  --> String: okedgllinbefodvigrepqpntivamowmysmorefejdduibxyeoaifrirtwtwxiacrc
cipher -->  Rotor: 100201307 --> ichuozdmyjeyodgyigbplnlpmlivbraylxacvrwqydzpduxitjhmocxwgzfhjvdtl --> Plugs:['tn', 'js', 'wz', 'pu', 'ef'] --->  ochpowomyseyogqyefbulehutsiteraylxargkzqicwjdiminshmscxzgweusvdny['1', '0', '2', '1', '3', '7', 'ichuozdmyjeyodgyigbplnlpmlivbraylxacvrwqydzpduxitjhmocxwgzfhjvdtl']-----> Plugs: ['tn', 'js', 'wz', 'pu', 'ef']  --> String: ochpowomyseyogqyefbulehutsiteraylxargkzqicwjdiminshmscxzgweusvdny
cipher -->  Rotor: 100201308 --> sriodqpodxqhghpznnczxzottxpyrtbqisdgsuedlbulzeippaqifxtepkziyuveo --> Plugs:['ri', 'my', 'aq', 'lu', 'do'] --->  sirdlaptocavghpznnctxqdtexzniesqssogsleoubluoerngqzasteepkermqved['1', '0', '2', '1', '3', '8', 'sriodqpodxqhghpznnczxzottxpyrtbqisdgsuedlbulzeippaqifxtepkziyuveo']-----> Plugs: ['ri', 'my', 'aq', 'lu', 'do']  --> String: sirdlaptocavghpznnctxqdtexzniesqssogsleoubluoerngqzasteepkermqved
cipher -->  Rotor: 100201309 --> tvtcbdxniaxoeetkodekvbwjevkkaookzmeejfcuvslophynseuamjyiubgrlwwpu --> Plugs:['ri', 'dv', 'fj', 'uy', 'km'] --->  tdtrbvxnrapieetmovelsdwsrdcroooppkeeffcvdsloghansedanaurybyitowzb['1', '0', '2', '1', '3', '9', 'tvtcbdxniaxoeetkodekvbwjevkkaookzmeejfcuvslophynseuamjyiubgrlwwpu']-----> Plugs: ['ri', 'dv', 'fj', 'uy', 'km']  --> String: tdtrbvxnrapieetmovelsdwsrdcroooppkeeffcvdsloghansedanaurybyitowzb
cipher -->  Rotor: 100201310 --> szfoleoxdgmvnfftbpjhwafmyrgivthheiugrtelgznelcgmbhgkhwmvnyztqfpdp --> Plugs:['as', 'ov', 'gt', 'pq', 'uw'] --->  akforelydtmondftfkjhulyjzrthoutheiwtygeliznelntruhtetumonyzgifqwq['1', '0', '2', '1', '3', '10', 'szfoleoxdgmvnfftbpjhwafmyrgivthheiugrtelgznelcgmbhgkhwmvnyztqfpdp']-----> Plugs: ['as', 'ov', 'gt', 'pq', 'uw']  --> String: akforelydtmondftfkjhulyjzrthoutheiwtygeliznelntruhtetumonyzgifqwq
cipher -->  Rotor: 100201311 --> tztcblobfaxgqfyboctkqswjjhkktmhkdmewjmcamslekwzgshzymsyikbgrgmsrt --> Plugs:['ai', 'rz', 'jn', 'qu', 'hm'] --->  trtcclofdixpuflbocteuowneciheoprchernutihillowscomtycsyakbgbghszt['1', '0', '2', '1', '3', '11', 'tztcblobfaxgqfyboctkqswjjhkktmhkdmewjmcamslekwzgshzymsyikbgrgmsrt']-----> Plugs: ['ai', 'rz', 'jn', 'qu', 'hm']  --> String: trtcclofdixpuflbocteuowneciheoprchernutihillowscomtycsyakbgbghszt
cipher -->  Rotor: 100201312 --> hibkfhqfemgkfahjliasihnoiawhhymofgniuvrypvazsnujfnjqzfjhtcnbhkhxd --> Plugs:['on', 'mr', 'jt', 'as', 'bq'] --->  hiqkihehergefzhtlisaihonikeheconvrobunmypasaabdfavnmzfthxcoehktxd['1', '0', '2', '1', '3', '12', 'hibkfhqfemgkfahjliasihnoiawhhymofgniuvrypvazsnujfnjqzfjhtcnbhkhxd']-----> Plugs: ['on', 'mr', 'jt', 'as', 'bq']  --> String: hiqkihehergefzhtlisaihonikeheconvrobunmypasaabdfavnmzfthxcoehktxd
cipher -->  Rotor: 100201313 --> axfglsyvrutuvwcetzsqwjghgdyivnedhztkelisekmrqgnwuzagsrmsqahgeiodm --> Plugs:['tn', 'bv', 'ou', 'jp', 'es'] --->  mxfcleibronobecsnzeqwsmermyrotsdhxngstiesimpqlewocahrrmenaharirnm['1', '0', '2', '1', '3', '13', 'axfglsyvrutuvwcetzsqwjghgdyivnedhztkelisekmrqgnwuzagsrmsqahgeiodm']-----> Plugs: ['tn', 'bv', 'ou', 'jp', 'es']  --> String: mxfcleibronobecsnzeqwsmermyrotsdhxngstiesimpqlewocahrrmenaharirnm
cipher -->  Rotor: 100201314 --> mwofiapzikmpghwkbflugakzduqtpobvtojerqtuagcxmjlccucpiwcdxmvtqpuyy --> Plugs:['ro', 'bj', 'fv', 'xy', 'dk'] --->  mwrfiapzidypghwdjvfueadekuttorjfttheoktwagsymbzcctceisckhwhthixmt['1', '0', '2', '1', '3', '14', 'mwofiapzikmpghwkbflugakzduqtpobvtojerqtuagcxmjlccucpiwcdxmvtqpuyy']-----> Plugs: ['ro', 'bj', 'fv', 'xy', 'dk']  --> String: mwrfiapzidypghwdjvfueadekuttorjfttheoktwagsymbzcctceisckhwhthixmt
